source,title,authors,subfield,published
arxiv,Meta Transfer Learning for Emotion Recognition,"Dung Nguyen, Sridha Sridharan, Duc Thanh Nguyen, Simon Denman, David Dean, Clinton Fookes",,2020-06-23T00:25:28Z
arxiv,Leveraging Semantic Scene Characteristics and Multi-Stream Convolutional Architectures in a Contextual Approach for Video-Based Visual Emotion Recognition in the Wild,"Ioannis Pikoulis, Panagiotis P. Filntisis, Petros Maragos",,2021-05-16T17:31:59Z
arxiv,PSO Fuzzy XGBoost Classifier Boosted with Neural Gas Features on EEG Signals in Emotion Recognition,Seyed Muhammad Hossein Mousavi,,2024-07-13T17:15:23Z
arxiv,E-ICL: Enhancing Fine-Grained Emotion Recognition through the Lens of Prototype Theory,"Zhaochun Ren, Zhou Yang, Chenglong Ye, Yufeng Wang, Haizhou Sun, Chao Chen, Xiaofei Zhu, Yunbing Wu, Xiangwen Liao",,2024-06-04T10:59:43Z
arxiv,Quality-Controlled Multimodal Emotion Recognition in Conversations with Identity-Based Transfer Learning and MAMBA Fusion,"Zanxu Wang, Homayoon Beigi",,2025-11-18T23:24:27Z
arxiv,Enhancing Student Engagement in Online Learning through Facial Expression Analysis and Complex Emotion Recognition using Deep Learning,"Rekha R Nair, Tina Babu, Pavithra K",,2023-11-17T06:07:54Z
arxiv,Emotional Voice Messages (EMOVOME) database: emotion recognition in spontaneous voice messages,"Lucía Gómez Zaragozá, Rocío del Amor, Elena Parra Vargas, Valery Naranjo, Mariano Alcañiz Raya, Javier Marín-Morales",,2024-02-27T13:22:47Z
arxiv,Double Multi-Head Attention Multimodal System for Odyssey 2024 Speech Emotion Recognition Challenge,"Federico Costa, Miquel India, Javier Hernando",,2024-06-15T11:11:06Z
arxiv,Continuous Learning Based Novelty Aware Emotion Recognition System,"Mijanur Palash, Bharat Bhargava",,2023-06-14T20:34:07Z
arxiv,Multimodal Emotion Recognition with Modality-Pairwise Unsupervised Contrastive Loss,"Riccardo Franceschini, Enrico Fini, Cigdem Beyan, Alessandro Conti, Federica Arrigoni, Elisa Ricci",,2022-07-23T10:11:24Z
arxiv,I Know How You Feel: Emotion Recognition with Facial Landmarks,"Ivona Tautkute, Tomasz Trzcinski, Adam Bielski",,2018-04-22T19:06:50Z
arxiv,Sensing technologies and machine learning methods for emotion recognition in autism: Systematic review,"Oresti Banos, Zhoe Comas-González, Javier Medina, Aurora Polo-Rodríguez, David Gil, Jesús Peral, Sandra Amador, Claudia Villalonga",,2024-05-15T19:48:04Z
arxiv,"AVEC 2016 - Depression, Mood, and Emotion Recognition Workshop and Challenge","Michel Valstar, Jonathan Gratch, Bjorn Schuller, Fabien Ringeval, Denis Lalanne, Mercedes Torres Torres, Stefan Scherer, Guiota Stratou, Roddy Cowie, Maja Pantic",,2016-05-05T14:04:50Z
arxiv,EMOVOME: A Dataset for Emotion Recognition in Spontaneous Real-Life Speech,"Lucía Gómez-Zaragozá, Rocío del Amor, María José Castro-Bleda, Valery Naranjo, Mariano Alcañiz Raya, Javier Marín-Morales",,2024-03-04T16:13:39Z
arxiv,Leveraging Recent Advances in Deep Learning for Audio-Visual Emotion Recognition,"Liam Schoneveld, Alice Othmani, Hazem Abdelkawy",,2021-03-16T15:49:15Z
arxiv,Leveraging TCN and Transformer for effective visual-audio fusion in continuous emotion recognition,"Weiwei Zhou, Jiada Lu, Zhaolong Xiong, Weifeng Wang",,2023-03-15T04:15:57Z
arxiv,Technology in Association With Mental Health: Meta-ethnography,Hamza Mohammed,,2023-07-20T01:25:08Z
arxiv,"""It Listens Better Than My Therapist"": Exploring Social Media Discourse on LLMs as Mental Health Tool",Anna-Carolina Haensch,,2025-04-14T17:37:32Z
arxiv,Usable Security for ML Systems in Mental Health: A Framework,"Helen Jiang, Erwen Senge",,2020-08-18T04:44:47Z
arxiv,Robotics Technology in Mental Health Care,Laurel D. Riek,,2015-11-07T01:58:51Z
arxiv,Financial technologies (FinTech) for mental health: The potential of objective financial data to better understand the relationships between financial behavior and mental health,"Johnna Blair, Jeff Brozena, Mark Matthews, Thomas Richardson, Saeed Abdullah",,2022-04-11T23:56:09Z
arxiv,"The Impact of Medicaid Coverage on Mental Health, Why Insurance Makes People Happier in OHIE: by Spending Less or by Spending More?",Yangyang Li,,2025-10-16T17:28:43Z
arxiv,On the State of Social Media Data for Mental Health Research,"Keith Harrigian, Carlos Aguirre, Mark Dredze",,2020-11-10T16:45:52Z
arxiv,The Cost-Benefit of Interdisciplinarity in AI for Mental Health,"Katerina Drakos, Eva Paraschou, Simay Toplu, Line Harder Clemmensen, Christoph Lütge, Nicole Nadine Lønfeldt, Sneha Das",,2025-10-21T12:34:44Z
arxiv,Envisioning an AI-Enhanced Mental Health Ecosystem,"Kellie Yu Hui Sim, Kenny Tsu Wei Choo",,2025-03-19T04:21:38Z
arxiv,Learning to Generate Context-Sensitive Backchannel Smiles for Embodied AI Agents with Applications in Mental Health Dialogues,"Maneesh Bilalpur, Mert Inan, Dorsa Zeinali, Jeffrey F. Cohn, Malihe Alikhani",,2024-02-13T22:47:22Z
arxiv,Mental Health and Sensing,"Abdul Kawsar Tushar, Muhammad Ashad Kabir, Syed Ishtiaque Ahmed",,2020-09-26T00:43:51Z
arxiv,The opportunities and risks of large language models in mental health,"Hannah R. Lawrence, Renee A. Schneider, Susan B. Rubin, Maja J. Mataric, Daniel J. McDuff, Megan Jones Bell",,2024-03-21T19:59:52Z
arxiv,Foundations of GenIR,"Qingyao Ai, Jingtao Zhan, Yiqun Liu",,2025-01-06T08:38:29Z
arxiv,Large Language Models for Interpretable Mental Health Diagnosis,"Brian Hyeongseok Kim, Chao Wang",,2025-01-13T19:26:09Z
arxiv,Predicting and Understanding College Student Mental Health with Interpretable Machine Learning,"Meghna Roy Chowdhury, Wei Xuan, Shreyas Sen, Yixue Zhao, Yi Ding",,2025-03-11T03:07:37Z
arxiv,Curriculum-guided Abstractive Summarization for Mental Health Online Posts,"Sajad Sotudeh, Nazli Goharian, Hanieh Deilamsalehy, Franck Dernoncourt",,2023-02-02T08:48:26Z
arxiv,IoT-Based Preventive Mental Health Using Knowledge Graphs and Standards for Better Well-Being,"Amelie Gyrard, Seyedali Mohammadi, Manas Gaur, Antonio Kung",,2024-06-19T19:35:14Z
arxiv,Toward Safe Evolution of Artificial Intelligence (AI) based Conversational Agents to Support Adolescent Mental and Sexual Health Knowledge Discovery,"Jinkyung Park, Vivek Singh, Pamela Wisniewski",,2024-04-03T19:18:25Z
